4;-6;6;749
+1.097868E+03;+8.543950E+05;-
+4.032986E+00;+2.859161E-04;+
-4.913064E+05;-4.659082E-04;+
-1.422748E-05;+1.276138E+05;-
-7.421723E+03;-5.374569E-04;+
-2.533260E+01;+3.714736E-01;+
-7.188741E-01;-1.057651E-02;+
+2.293998E-05;+1.845754E+05;+
+5.536873E+02;+8.779861E-03;-
+4.734545E-01;+2.678171E-03;+
+2.741773E-00;+1.314271E+01;-
+5.634895E-01;+8.554579E+04;+
+5.123433E+05;+8.138439E-05;+
-4.509933E+02;-8.353827E-03;+
-4.321249E+01;+8.380866E+00;-
+1.965903E+05;+3.859323E-05;+
+5.324515E-02;+7.417547E-00;-
+8.119505E+00;-8.350847E-03;-
-3.731150E-00;+5.543448E+01;-
+7.457297E-04;-1.296280E+03;-
+7.325096E-04;+3.742347E-01;-
+1.220355E-05;-4.932230E+02;-
+2.024375E-03;-5.079690E-01;+
-5.865805E-01;-3.407117E-01;-
-2.510942E-03;+2.212314E-00;+
+4.497216E+05;+2.119018E-01;+
-2.298246E+05;-4.109843E+03;-
-3.828418E-01;+1.522083E+05;-
-3.585544E-05;+4.367411E-03;+
-3.531943E+02;+5.792194E+04;+
+8.662625E+04;+8.975913E+02;-
+1.066951E-04;+2.815651E+02;-
-1.827878E+04;-6.434831E-03;+
+7.598271E+04;+8.535423E-00;+
+5.952533E+02;-4.374173E+05;+
-1.961054E-04;-1.275019E+00;-
-8.545076E+00;+8.097304E+03;+
+4.309541E+05;-1.882670E-00;+
-7.681239E+05;+3.507406E+00;-
-4.755167E-03;+1.079642E-05;+
+4.100224E+02;-7.814938E+02;-
+3.659006E-05;-6.121946E-05;-
-7.571213E+01;+2.633880E-04;-
-5.159936E+02;-6.574207E+05;+
-2.894018E-05;+7.962578E+01;+
+7.307915E+01;+5.281504E+00;-
-1.881240E+02;-6.504467E-01;+
+8.164275E+00;+4.393056E-04;+
-7.448900E-00;+5.096157E+02;+
-6.273607E-01;+4.955654E+03;+
-7.548642E+05;-3.898183E-03;+
-3.342074E+02;+1.330540E-05;+
+7.269162E+04;-7.364092E-04;+
-7.277993E+03;+2.981276E-03;+
+5.154042E-05;+7.328838E+04;+
-6.703994E+03;+8.845329E-03;+
-3.032883E-04;-6.143929E-04;-
-5.998644E+02;+3.545198E+04;-
+7.377589E-04;-1.591495E+02;-
-7.104097E+02;-3.024047E-00;+
+3.447609E+05;+1.515434E+01;-
+5.183429E-01;-7.253787E+03;+
+2.747700E+04;+2.918449E-01;+
-3.285147E+03;+3.823476E-01;-
-5.073611E+01;-1.331636E-05;-
-2.793258E-05;+5.214556E+01;+
+7.957333E-02;-3.140324E+04;+
+8.351897E+02;-8.137397E+01;-
-5.226545E-05;-4.904852E+02;+
+5.252265E-01;+5.471026E-02;-
+4.609164E-04;+6.442111E-05;+
+4.122524E+04;+5.624468E-01;+
+1.838963E+05;-8.794017E+00;+
-6.949695E-03;+8.606564E-05;-
-8.630155E+05;+3.357173E-05;+
-4.787839E-05;-1.878707E+05;-
-7.808015E-00;-5.306148E+05;-
-7.087228E+01;-2.038882E-05;+
-4.249994E-05;-8.784620E-02;-
+3.428678E-01;+3.545939E+03;+
+5.184838E-04;-4.229869E+01;+
-3.494789E-03;+3.386260E-00;+
-6.893344E-00;+1.051659E+04;+
-7.749045E+02;-8.592703E-02;-
-1.651250E+01;+8.278482E-02;-
+6.738826E+02;-1.846809E-00;-
-3.439706E-00;+4.982768E-03;+
-6.853887E+04;-6.182096E+04;-
-4.796621E+04;-3.169586E+04;-
-3.637321E+01;-5.971183E-03;-
-5.253779E+05;+7.109941E-05;+
+1.194483E+05;+8.693775E-04;-
-3.739115E-04;-1.938156E-03;-
+8.141501E+05;+8.738430E-00;+
-2.145139E-01;+2.271895E-02;+
+6.971656E+05;+1.055500E+04;+
-1.119303E+01;-4.768074E-02;+
-7.074205E+02;+2.565876E-04;-
-3.732348E+02;-1.226561E+03;-
-8.460663E-04;+7.201945E-04;-
-4.902156E-03;-3.677593E+00;+
+5.218346E-05;+4.865261E-01;+
+2.369640E+00;+6.129478E-02;-
-3.691916E-02;+2.328508E+01;-
-1.718909E-00;-8.756916E+01;-
+4.301617E+04;+7.907867E+00;+
-4.057666E+01;-2.107690E+05;-
-8.651845E+03;-1.551500E-03;+
+8.040255E+02;+1.743476E-03;-
-7.595381E-00;-3.815976E+00;+
+1.788857E+02;+3.610971E+05;+
+1.293447E+03;+6.237164E-01;-
-6.419578E-02;+1.617498E+04;+
+2.224456E-04;-3.820641E+05;+
+2.694954E+04;-6.419358E-03;-
-6.203797E-01;+3.712615E-04;+
-2.701606E+00;-5.334922E-03;+
-7.967795E+00;-7.747552E-03;+
+4.810505E+03;-2.906339E-03;+
-7.090056E-03;-6.714535E+03;-
+3.294069E-01;+2.691275E-05;-
+5.747680E+05;-4.125337E-05;-
-3.085101E-02;+2.326799E+03;-
+8.231701E-05;+1.298513E-02;+
-6.143483E+04;+6.143622E+04;+
-3.193982E+04;-1.476040E-02;-
+4.937883E-01;-4.582469E-01;+
+5.695243E-02;+7.266438E-04;-
-4.200854E+03;-7.739304E-00;+
-2.831099E+00;-4.389192E+01;-
+6.559130E+05;-7.295106E-01;+
+6.001507E+02;-2.335664E-04;-
-7.345638E+04;-1.630516E+01;+
-4.002177E+03;+6.227208E+00;+
-7.116591E+00;+5.777695E+03;+
-6.768412E-01;-1.910861E-02;-
-7.046670E-03;-4.971456E+00;+
+4.703391E-02;+3.799615E+00;-
-8.830731E-05;-3.962351E+05;+
+2.300832E-00;+1.848607E+01;-
+3.577419E+03;-6.391716E+04;-
-1.884329E-02;+4.060547E-02;-
-3.178970E+02;+8.947032E-02;+
-4.355885E-01;-8.685837E-01;-
-1.377940E-03;+6.243976E-04;+
-5.530447E-04;-6.389849E+04;-
-3.785080E+00;+8.800059E+02;-
-4.411828E-02;-5.598570E+00;-
-2.192709E-01;+7.107663E+01;-
+6.129213E-05;-2.477781E-03;+
+1.196279E-03;+5.782342E-00;-
+4.087224E-03;-8.559306E+04;+
+7.460669E-05;+6.057257E+05;-
-2.666861E-05;-5.604232E+03;+
-2.018723E-02;+8.357419E-05;+
+3.136491E-04;+6.255982E+03;-
+5.411076E-04;+8.222980E-00;+
-6.656612E+04;+7.363595E-01;+
-6.592508E-05;+5.747195E-00;+
-4.855479E+05;-4.623943E+03;+
+6.043202E+05;-2.801871E+01;-
-4.903542E-03;+7.914549E-05;-
+3.293845E+02;-1.187289E-05;-
+2.332348E-04;-8.912943E-04;-
+3.495602E+02;-6.386016E+05;+
-6.581255E+03;-2.829556E-04;-
-2.098511E-05;-7.402211E-00;-
-4.236103E-02;+6.397580E+02;-
+6.103058E+03;+7.175508E+05;+
-1.012272E-04;+1.625235E-00;+
+7.418491E+03;-1.656409E+02;-
-2.046817E-02;+2.709667E+04;+
+7.608452E+00;-2.011099E+02;+
-8.849659E+01;+5.580177E-01;-
-5.675622E-02;+4.250982E+01;-
-5.754796E+03;-7.424029E+02;+
+5.671810E+04;-5.934499E-04;+
+2.138299E-00;-3.597467E-01;+
+7.185613E-04;-7.712269E-04;-
-7.143005E-01;+7.328021E+04;+
-6.342207E+03;+8.150018E+04;+
-3.730522E-02;-2.510401E+04;-
-2.718140E-02;-8.541678E-01;-
+2.620112E+04;-3.262189E-04;+
-7.975222E+02;+2.011905E-02;+
+5.963067E+00;-2.945677E+02;-
-2.531969E+03;+5.866030E+03;+
+7.793975E-05;-2.667317E-02;+
+7.664340E-00;+7.214732E+00;+
+1.092645E+05;-4.331015E-03;+
-2.077206E+04;-3.951409E+01;+
+7.558533E+04;+1.849116E+00;-
-8.014622E-04;-8.103434E+01;-
-5.434553E+00;-2.363068E-00;+
+7.066600E-03;-8.117684E-03;+
+6.449028E-03;+3.611184E-03;+
+7.626363E-04;+7.659903E-03;+
+2.495381E-05;-7.091234E+03;-
+8.266107E+05;-8.154891E-05;+
-3.237777E-01;+8.412177E+03;-
-6.244628E+02;+7.371360E+03;+
+2.972550E+04;+1.351168E-00;-
+5.431659E-01;-8.989594E-03;-
-4.818782E+02;-7.649800E+04;-
-4.251863E+05;-7.482969E+04;+
+7.895166E+03;+6.565777E+03;-
-2.225178E+04;+4.708650E+00;+
-4.037641E-01;-3.072233E+05;+
+5.782603E+05;+5.839755E+02;-
-2.184655E+05;-7.071897E+02;+
-3.127017E+01;-6.239044E-05;+
+5.528957E+00;-7.469219E-04;+
-5.443752E-04;+7.905140E+02;-
-6.200911E-00;-4.585724E+05;-
-8.678040E-01;-4.012329E+03;-
+4.601122E-00;-4.106531E+00;-
+4.727406E+01;+4.084962E+01;-
-4.551198E-01;-8.084630E+03;-
+1.039401E+01;+8.604282E-02;-
-7.406930E-01;-5.259978E+05;-
-6.796219E+01;+5.003730E+05;-
-4.573324E+05;-2.586558E+02;+
+2.456686E+03;-8.618028E-00;-
-5.868080E-03;+7.162784E-04;+
-4.186274E-01;-2.031242E-01;+
+2.202924E+04;+6.054377E+00;-
+8.611964E+02;-5.505187E+01;-
-6.322097E-02;-3.308520E+00;+
+4.804182E-03;-2.647296E-04;+
-4.187522E+00;+3.741230E+00;-
+8.864312E+05;+8.543143E+05;-
-1.650511E-04;-3.179906E-00;-
+5.216223E-04;+1.688046E+00;+
-7.278221E+03;+3.645876E+02;+
+5.581071E-01;-5.261608E+03;-
+8.666307E+05;+3.488279E-01;+
+4.189540E-04;+6.007934E+01;+
+3.724238E-02;-6.250990E+02;-
-6.588019E+05;-1.663631E+01;-
+6.673398E-04;+7.105936E+04;-
+2.546271E+01;+8.239462E+04;+
-8.208465E-02;-1.564808E+02;-
+2.369004E-04;+6.152486E-00;+
+1.402681E-02;+6.119284E+05;-
+1.656103E-03;+7.502039E-04;+
+2.759000E+03;-1.014622E+03;-
+2.345907E-02;-6.444771E+00;-
-3.329427E-02;+3.576500E+00;-
+3.568037E+00;-5.776714E+00;+
+5.952876E-05;+2.162173E+05;-
+4.795503E+03;+4.994027E-05;-
+7.027973E-00;+6.182376E+04;+
+5.247390E-04;-7.497814E+05;-
+4.906785E-04;-8.226113E-02;+
-8.678471E+02;+3.568849E+03;-
-6.344694E-01;-6.379827E-05;-
+5.466062E-00;+7.619948E+00;-
+1.350315E-04;-5.317748E+00;-
+2.144053E+05;-7.726527E+00;-
+6.517992E-00;-8.940141E-02;+
+1.772378E-03;-8.649568E+03;+
+7.049262E+04;+2.282760E-05;-
-7.350986E+02;+6.654036E-00;+
+6.671120E-01;-7.787002E+04;-
-8.960048E+02;-5.795987E-00;+
+3.965378E+03;-8.326813E-03;+
-3.259255E+04;-8.823579E+01;+
+3.883175E+03;+1.773403E+01;-
+7.722698E-03;-7.397713E+01;-
-4.199813E-03;-4.379389E-02;+
-3.324048E+04;+3.845357E-05;+
+8.039288E+00;+8.242569E+00;-
